Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,716.41,716.41,708.756,708.756,194318
2024-01-03,709.59,709.59,684.025,684.025,197664
2024-01-04,682.112,684.712,682.112,684.712,118217
2024-01-05,679.118,679.118,675.045,675.045,176508
2024-01-08,674.555,677.205,674.555,677.205,306223
2024-01-09,684.074,684.074,668.274,668.274,247921
2024-01-10,669.696,669.746,669.696,669.746,111826
2024-01-11,676.517,676.517,659.736,659.736,326747
2024-01-12,649.677,654.24,649.677,654.24,213316
2024-01-15,659.246,659.246,655.663,655.663,189935
2024-01-16,656.056,656.056,651.541,651.541,106891
2024-01-17,647.714,647.714,636.674,636.674,393411
2024-01-18,656.596,656.596,651.198,651.198,360993
2024-01-19,656.596,656.596,648.204,648.204,329350
2024-01-22,654.191,654.191,651.443,651.443,362509
2024-01-23,645.751,657.184,645.751,657.184,198914
2024-01-24,654.191,670.138,654.191,670.138,497542
2024-01-25,672.592,672.935,672.592,672.935,635572
2024-01-26,706.597,756.059,706.597,756.059,614088
2024-01-29,758.659,762.978,758.659,762.978,243890
2024-01-30,765.333,766.363,765.333,766.363,236764
2024-01-31,765.038,765.038,759.543,759.543,100904
2024-02-01,753.703,755.372,753.703,755.372,640986
2024-02-02,756.991,763.026,756.991,763.026,84778.1
2024-02-05,761.554,763.419,761.554,763.419,246933
2024-02-06,770.436,770.436,763.959,763.959,89749.7
2024-02-07,767.639,770.043,767.639,770.043,183713
2024-02-08,769.995,788.444,769.995,788.444,186007
2024-02-09,794.922,794.922,791.831,791.831,526355
2024-02-12,785.108,804.49,785.108,804.49,146767
2024-02-13,802.969,802.969,786.678,786.678,228567
2024-02-14,780.249,788.395,780.249,788.395,554824
2024-02-15,801.841,801.841,798.16,798.16,166669
2024-02-16,799.534,802.969,799.534,802.969,110512
2024-02-19,795.314,808.318,795.314,808.318,362604
2024-02-20,802.773,804.343,802.773,804.343,524046
2024-02-21,805.766,805.766,804.735,804.735,95883.9
2024-02-22,812.587,823.136,812.587,823.136,245505
2024-02-23,827.111,831.429,827.111,831.429,160642
2024-02-26,828.779,828.779,825.443,825.443,77089
2024-02-27,826.325,832.754,826.325,832.754,115808
2024-02-28,833,833,829.515,829.515,84265.6
2024-02-29,836.336,836.336,828.534,828.534,337534
2024-03-01,824.019,831.38,824.019,831.38,134135
2024-03-04,830.742,830.742,822.106,822.106,211293
2024-03-05,821.86,821.86,813.175,813.175,303516
2024-03-06,814.549,818.377,814.549,818.377,173971
2024-03-07,812.685,824.707,812.685,824.707,84909.6
2024-03-08,823.529,829.957,823.529,829.957,207503
2024-03-11,822.596,834.03,822.596,834.03,116826
2024-03-12,836.139,840.507,836.139,840.507,170803
2024-03-13,837.171,852.087,837.171,852.087,291632
2024-03-14,853.804,856.798,853.804,856.798,328986
2024-03-15,849.879,849.879,849.291,849.291,489468
2024-03-18,845.512,845.512,844.628,844.628,243232
2024-03-19,836.336,841.292,836.336,841.292,641993
2024-03-20,819.358,832.312,819.358,832.312,170489
2024-03-21,838.985,838.985,830.644,830.644,215683
2024-03-22,824.559,824.559,814.353,814.353,155392
2024-03-25,809.054,810.918,809.054,810.918,309703
2024-03-26,817.542,817.542,806.453,806.453,530741
2024-03-27,812.587,814.059,812.587,814.059,331252
2024-03-28,815.776,820.045,815.776,820.045,247448
2024-04-02,818.131,818.131,807.728,807.728,209360
2024-04-03,804.735,804.735,803.999,803.999,230641
2024-04-04,801.841,805.177,801.841,805.177,204782
2024-04-05,788.592,788.592,787.365,787.365,165187
2024-04-08,780.249,792.861,780.249,792.861,267867
2024-04-09,789.033,789.033,778.336,778.336,222942
2024-04-10,794.922,794.922,776.128,776.128,232153
2024-04-11,773.724,774.754,773.724,774.754,190566
2024-04-12,782.213,782.213,762.83,762.83,158860
2024-04-15,770.436,778.581,770.436,778.581,186156
2024-04-16,767.443,767.443,767.197,767.197,180873
2024-04-17,790.162,791.733,790.162,791.733,241792
2024-04-18,789.033,789.033,786.629,786.629,284536
2024-04-19,781.673,781.673,780.545,780.545,762998
2024-04-22,788.494,788.494,783.636,783.636,241840
2024-04-23,786.608,790.769,786.608,790.769,126837
2024-04-24,787.648,791.858,787.648,791.858,132601
2024-04-25,794.83,794.83,773.283,773.283,118230
2024-04-26,781.704,784.874,781.704,784.874,117146
2024-04-29,788.985,788.985,771.202,771.202,36746.1
2024-04-30,777.741,777.741,766.447,766.447,764133
2024-05-01,767.19,767.19,766.447,766.447,13913.5
2024-05-02,774.719,774.719,762.187,762.187,423109
2024-05-03,765.853,775.363,765.853,775.363,20295.9
2024-05-06,781.753,781.753,773.432,773.432,445030
2024-05-07,784.626,784.626,782.942,782.942,159132
2024-05-08,782.645,782.645,781.208,781.208,264969
2024-05-09,777.394,779.921,777.394,779.921,259343
2024-05-10,791.611,791.611,780.168,780.168,19745.8
2024-05-13,785.766,785.766,776.404,776.404,133148
2024-05-14,782.645,782.645,782.1,782.1,20253.5
2024-05-15,783.883,783.883,780.317,780.317,628753
2024-05-16,776.701,779.227,776.701,779.227,53355.7
2024-05-17,773.778,776.305,773.778,776.305,1530423
2024-05-20,777.741,777.741,772.54,772.54,101443
2024-05-21,770.212,770.212,760.751,760.751,55685.4
2024-05-22,760.949,760.949,743.76,743.76,92342.7
2024-05-23,752.924,752.924,744.949,744.949,31759.6
2024-05-24,741.036,744.107,741.036,744.107,136453
2024-05-27,743.414,746.584,743.414,746.584,84026.3
2024-05-28,751.339,751.339,739.401,739.401,109531
2024-05-29,736.132,736.132,721.965,721.965,155609
2024-05-30,716.913,727.86,716.913,727.86,475093
2024-05-31,726.522,726.968,726.522,726.968,191318
2024-06-03,732.169,732.169,731.278,731.278,77544.9
2024-06-04,733.507,733.507,730.386,730.386,119608
2024-06-05,733.11,744.652,733.11,744.652,119695
2024-06-06,755.946,755.946,755.054,755.054,135717
2024-06-07,761.89,761.89,755.946,755.946,678430
2024-06-10,743.711,743.711,738.51,738.51,23404.9
2024-06-11,741.432,741.432,730.237,730.237,762264
2024-06-12,723.204,728.999,723.204,728.999,93073.5
2024-06-13,733.11,733.11,724.491,724.491,65699.6
2024-06-14,719.439,719.439,706.114,706.114,104184
2024-06-17,706.808,709.78,706.808,709.78,202202
2024-06-18,715.674,715.674,703.637,703.637,88340.4
2024-06-19,698.981,700.418,698.981,700.418,80289.5
2024-06-20,703.39,708.492,703.39,708.492,87937.7
2024-06-21,706.61,711.266,706.61,711.266,126358
2024-06-24,711.315,720.677,711.315,720.677,70877.8
2024-06-25,723.204,729.693,723.204,729.693,158138
2024-06-26,732.665,732.665,721.024,721.024,246961
2024-06-27,725.185,725.185,708.195,708.195,49180.8
2024-06-28,707.749,707.749,705.966,705.966,206133
2024-07-01,724.244,724.244,706.263,706.263,50288.1
2024-07-02,715.278,715.278,703.093,703.093,23877.3
2024-07-03,707.353,710.275,707.353,710.275,166841
2024-07-04,711.811,713.742,711.811,713.742,27003.4
2024-07-05,718.3,718.3,708.591,708.591,26089.9
2024-07-08,704.43,704.43,692.244,692.244,296619
2024-07-09,688.579,688.579,680.059,680.059,160310
2024-07-10,682.288,692.344,682.288,692.344,69926
2024-07-11,696.504,704.529,696.504,704.529,26009.1
2024-07-12,706.411,719.191,706.411,719.191,299264
2024-07-15,712.356,712.356,697,697,94853.1
2024-07-16,702.746,702.746,685.706,685.706,70256
2024-07-17,686.598,686.598,686.201,686.201,378599
2024-07-18,691.898,691.898,685.112,685.112,43366.7
2024-07-19,674.313,674.313,672.926,672.926,44872.7
2024-07-22,678.672,686.697,678.672,686.697,1134590
2024-07-23,688.678,688.678,685.706,685.706,184141
2024-07-24,663.762,663.762,654.995,654.995,7487885
2024-07-25,651.527,651.527,645.781,645.781,3474950
2024-07-26,651.131,655.837,651.131,655.837,3062649
2024-07-29,664.802,664.802,649.001,649.001,1813405
2024-07-30,650.487,650.487,647.862,647.862,2200336
2024-07-31,650.933,650.933,644.394,644.394,70506.4
2024-08-01,643.948,643.948,634.834,634.834,6292990
2024-08-02,631.515,631.515,621.906,621.906,104248
2024-08-05,614.624,617.646,614.624,617.646,526268
2024-08-06,620.023,620.023,615.218,615.218,561985
2024-08-07,624.135,626.364,624.135,626.364,54125.9
2024-08-08,620.172,627.552,620.172,627.552,71586.4
2024-08-09,631.119,631.119,630.227,630.227,143092
2024-08-12,634.041,634.041,631.119,631.119,357137
2024-08-13,639.243,639.243,628.345,628.345,468822
2024-08-14,636.122,637.558,636.122,637.558,47684.9
2024-08-15,636.518,650.338,636.518,650.338,34962.5
2024-08-16,659.799,659.799,651.23,651.23,238683
2024-08-19,662.821,669.558,662.821,669.558,185869
2024-08-20,668.765,672.431,668.765,672.431,224659
2024-08-21,668.765,672.976,668.765,672.976,292784
2024-08-22,674.263,674.263,672.827,672.827,215966
2024-08-23,677.632,677.632,673.025,673.025,386007
2024-08-26,675.155,675.65,675.155,675.65,32188.6
2024-08-27,676.79,676.79,662.623,662.623,136603
2024-08-28,675.65,675.65,661.137,661.137,40279
2024-08-29,661.236,670.35,661.236,670.35,170931
2024-08-30,672.728,672.728,668.716,668.716,35357.1
2024-09-02,666.338,666.338,666.09,666.09,226859
2024-09-03,670.747,670.747,665.496,665.496,40214.4
2024-09-04,646.97,646.97,636.865,636.865,106554
2024-09-05,634.735,634.735,613.584,613.584,218408
2024-09-06,609.72,609.72,607.441,607.441,101659
2024-09-09,606.698,609.621,606.698,609.621,324044
2024-09-10,618.19,618.19,606.55,606.55,219709
2024-09-11,606.599,606.599,601.894,601.894,75127.4
2024-09-12,610.265,610.265,601.497,601.497,138068
2024-09-13,605.46,605.46,602.587,602.587,405354
2024-09-16,603.38,603.38,597.535,597.535,263999
2024-09-17,604.073,604.073,602.488,602.488,278678
2024-09-18,603.776,603.776,592.036,592.036,160308
2024-09-19,601.052,609.027,601.052,609.027,155904
2024-09-20,615.268,615.268,586.786,586.786,125148
2024-09-23,584.507,588.519,584.507,588.519,265192
2024-09-24,611.602,611.602,607.441,607.441,181924
2024-09-25,617.249,617.249,611.8,611.8,488882
2024-09-26,639.044,669.26,639.044,669.26,207604
2024-09-27,723.204,723.204,696.059,696.059,115896
2024-09-30,685.557,685.557,682.882,682.882,101419
2024-10-01,677.632,677.632,654.45,654.45,298009
2024-10-02,661.038,661.038,659.948,659.948,58001
2024-10-03,660.592,660.592,654.202,654.202,104608
2024-10-04,653.608,656.282,653.608,656.282,106980
2024-10-07,659.799,675.056,659.799,675.056,59054.8
2024-10-08,639.044,648.654,639.044,648.654,196770
2024-10-09,652.567,654.004,652.567,654.004,48082.6
2024-10-10,649.992,649.992,649.496,649.496,391725
2024-10-11,645.286,646.772,645.286,646.772,53638.3
2024-10-14,646.97,646.97,629.93,629.93,208918
2024-10-15,632.853,632.853,617.447,617.447,216598
2024-10-16,579.603,593.473,579.603,593.473,226052
2024-10-17,598.228,604.668,598.228,604.668,519291
2024-10-18,609.324,616.952,609.324,616.952,521517
2024-10-21,615.119,615.119,604.767,604.767,146688
2024-10-22,607.342,611.652,607.342,611.652,499481
2024-10-23,604.519,606.748,604.519,606.748,444034
2024-10-24,608.482,623.59,608.482,623.59,552209
2024-10-25,619.231,621.113,619.231,621.113,195848
2024-10-28,625.571,627.057,625.571,627.057,85867.4
2024-10-29,627.156,627.156,625.522,625.522,341827
2024-10-30,620.172,620.172,611.999,611.999,51402.5
2024-10-31,610.958,610.958,603.776,603.776,109228
2024-11-01,605.955,605.955,605.361,605.361,54008.8
2024-11-04,605.361,605.361,601.646,601.646,51047.2
2024-11-05,601.151,601.151,598.327,598.327,362805
2024-11-06,600.853,600.853,595.405,595.405,184532
2024-11-07,594.414,614.525,594.414,614.525,221021
2024-11-08,617.646,617.646,591.838,591.838,87485.5
2024-11-11,594.711,594.711,592.284,592.284,59201.1
2024-11-12,584.507,584.507,564,564,268448
2024-11-13,564.693,567.814,564.693,567.814,119301
2024-11-14,566.972,579.851,566.972,579.851,55432
2024-11-15,574.6,580.643,574.6,580.643,150637
2024-11-18,581.584,583.17,581.584,583.17,78535.1
2024-11-19,583.566,583.566,571.38,571.38,90573.2
2024-11-20,576.581,576.581,572.173,572.173,608034
2024-11-21,565.932,569.3,565.932,569.3,122951
2024-11-22,574.6,577.721,574.6,577.721,50334.6
2024-11-25,586.885,588.717,586.885,588.717,219440
2024-11-26,583.863,590.303,583.863,590.303,175085
2024-11-27,587.083,587.083,582.872,582.872,218757
2024-11-28,584.358,584.358,581.287,581.287,58506.7
2024-11-29,579.801,585.25,579.801,585.25,254597
2024-12-02,583.05,608.65,583.05,608.65,85461
2024-12-03,610,610,609.95,609.95,103485
2024-12-04,611.45,611.45,610.95,610.95,75495
2024-12-05,606.2,608.8,606.2,608.8,214167
2024-12-06,609.05,631.45,609.05,631.45,179329
2024-12-09,639.05,652.05,639.05,652.05,300084
2024-12-10,646,646,636.15,636.15,773766
2024-12-11,631.05,643.8,631.05,643.8,215499
2024-12-12,650.3,650.3,646.75,646.75,149404
2024-12-13,642,642,637.95,637.95,556922
2024-12-16,629.05,629.2,629.05,629.2,92513
2024-12-17,625.05,635.1,625.05,635.1,212735
2024-12-18,634,636.7,634,636.7,118702
2024-12-19,622,628.35,622,628.35,457885
2024-12-20,626.2,632.55,626.2,632.55,81684
2024-12-23,627.75,628.75,627.75,628.75,165984
2024-12-24,635.05,635.05,631.95,631.95,31659
2024-12-27,633.05,634.15,633.05,634.15,31436
2024-12-30,632,632,629.3,629.3,26091
2024-12-31,625.05,635.1,625.05,635.1,3411
2025-01-02,641.05,641.05,633.35,633.35,35581
2025-01-03,638.2,638.2,610.95,610.95,74030
2025-01-06,614.5,634.75,614.5,634.75,118465
2025-01-07,636.8,645.3,636.8,645.3,229241
2025-01-08,647.25,647.25,635,635,45583
2025-01-09,630,647.5,630,647.5,353831
2025-01-10,645.05,645.05,643.25,643.25,50769
2025-01-13,641.75,644.75,641.75,644.75,80563
2025-01-14,657.05,657.05,652.05,652.05,182846
2025-01-15,649.65,649.65,639.55,639.55,360789
2025-01-16,686.9,694.65,686.9,694.65,481153
2025-01-17,695.05,695.05,689.95,689.95,176451
2025-01-20,688.3,688.3,684.25,684.25,178205
2025-01-21,686.5,700.65,686.5,700.65,88591
2025-01-22,697.25,712.85,697.25,712.85,202474
2025-01-23,715.05,720.35,715.05,720.35,379988
2025-01-24,743.65,743.65,731.85,731.85,177209
2025-01-27,730,751.05,730,751.05,195354
2025-01-28,747.15,756.15,747.15,756.15,284956
2025-01-29,720.5,720.5,712.55,712.55,570146
2025-01-30,715.35,715.35,715.25,715.25,188782
2025-01-31,714.9,714.9,700.9,700.9,342011
2025-02-03,680,687.85,680,687.85,149425
2025-02-04,685.05,692.65,685.05,692.65,62797
2025-02-05,690,690,681.9,681.9,84685
2025-02-06,684.7,698.55,684.7,698.55,153268
2025-02-07,695.05,695.05,684.3,684.3,254159
2025-02-10,688,688,684.45,684.45,208841
2025-02-11,678.5,686.65,678.5,686.65,93510
2025-02-12,687.45,690.15,687.45,690.15,235284
2025-02-13,698.3,705.65,698.3,705.65,58691
2025-02-14,718,718,712.75,712.75,254849
2025-02-17,708.3,708.3,702.05,702.05,181218
2025-02-18,711.05,711.05,705.95,705.95,61516
2025-02-19,700,700,689.65,689.65,42475
2025-02-20,685.45,697.05,685.45,697.05,55598
2025-02-21,696.4,701.6,696.4,701.6,118210
2025-02-24,702.4,702.4,690.6,690.6,184958
2025-02-25,689.15,689.15,685.1,685.1,73220
2025-02-26,694,699.85,694,699.85,350303
2025-02-27,684,691.85,684,691.85,27650
2025-02-28,683.45,691.45,683.45,691.45,140597
2025-03-03,690.8,692.45,690.8,692.45,112837
2025-03-04,680.9,680.9,664.95,664.95,103052
2025-03-05,682,682,669.25,669.25,158931
2025-03-06,670,670,656.95,656.95,214878
2025-03-07,651.15,651.15,632.85,632.85,127047
2025-03-10,635.75,635.75,627.85,627.85,299416
2025-03-11,634.5,634.5,619.3,619.3,238044
2025-03-12,624.4,624.8,605.8,611.8,220220
2025-03-13,607.4,616.6,598.6,605,96124
2025-03-14,604.2,619.5,600.3,605.75,247626
2025-03-17,605.4,610.9,600.2,610.4,495185
2025-03-18,612.8,616.2,608.4,611.35,429213
2025-03-19,607.9,614.8,605.3,611.95,502914
2025-03-20,607.7,611.1,601.1,604.55,182118
2025-03-21,601,602.5,593.5,600.25,138973
2025-03-24,605.7,609.4,595.7,596.95,400206
2025-03-25,598.4,605.1,596.3,599.35,68983
2025-03-26,599.4,600.05,591.8,594.25,131090
2025-03-27,591.3,594.1,586.4,589.15,60859
2025-03-28,585.2,590,580.9,586.15,119853
2025-03-31,580.6,581.8,568,571.4,179076
2025-04-01,579.1,579.3,572.35,575.05,163816
2025-04-02,573.3,578,571.3,574.7,66680
2025-04-03,560.7,563,541.65,543.3,36497
2025-04-04,544.4,547.6,521.75,534.2,32709
2025-04-07,496.85,539.1,483.2,511.55,38096
2025-04-08,517.4,526.7,501.4,519.8,4135
2025-04-09,496.5,510.6,494.25,500.5,1511
2025-04-10,545.3,547.7,520.7,523.6,13161
2025-04-11,528.2,531.8,513.7,524.4,444680
2025-04-14,534.9,535.9,524.9,526.55,290787
2025-04-15,499.8,502.6,484.85,488.6,38471
2025-04-16,482.95,489,479.45,485.2,78227
2025-04-17,483.35,493.35,481.1,486.1,144423
2025-04-22,489.75,489.75,471.35,488.55,54136
2025-04-23,492,515,492,503.8,34269
2025-04-24,490.25,501.4,486.25,499.3,58520
2025-04-25,503.9,506.6,497.25,498.7,12475
2025-04-28,502.5,506.9,501.1,502,443400
2025-04-29,498.6,503.1,489.75,491.75,31544
2025-04-30,491.5,492.75,483.35,489.55,372628
2025-05-02,496.2,497.4501,486,495.85,51780
2025-05-05,498,498,490.6,492.1,41924
2025-05-06,492.1,492.5,484.7,490.1,172389
2025-05-07,489.2,490.1,482.1,483.9,277211
2025-05-08,485.95,496.7,482.5,486.55,30848
2025-05-09,492.3,498.15,491.65,495.75,8358
2025-05-12,508.9,536.1,508.5,530.7,10066
2025-05-13,533.2,541.2,530.3,536.9,33111
2025-05-14,536.7,537.9,521.3,523,41541
2025-05-15,518.6,521,505.9,506.1,107084
2025-05-16,506.5,509.4,499.4,503.6,28178
2025-05-19,501.5,505.1,491.45,497.9,6239
2025-05-20,499,505.5,492.95,504.9,23326
2025-05-21,498.4,502.1,490.5,493.2,14862
2025-05-22,486.5,491.5,477.65,484.5,312583
2025-05-23,486.8,489.55,466.9,479,48378
2025-05-26,487,488.55,480.3,483.45,6336
2025-05-27,475.9,485,475.45,481.9,77405
2025-05-28,485,486.2,481.7,482.5,15492
2025-05-29,495.55,497.6,479.2,480.25,15229
2025-05-30,479.5,490.85,477.35,478.25,68945
2025-06-02,472.15,478.7,467.4,477.2,41846
2025-06-03,475.55,476.7,466,473,43511
2025-06-04,475.05,479.25,471,476.194,274313
2025-06-05,480.8,483.95,467.75,471.1,42470
2025-06-06,468.15,473.8,467.8,471.075,46575
2025-06-09,471,477.3,470.4,471.25,32538
2025-06-10,467.2,475.05,466.5,474.85,70738
2025-06-11,476.6,482.7,470.45,470.6,44925
2025-06-12,467.75,472.25,463,469.74838,290404
2025-06-13,459.65,463.15,457.4,461.4,35727
2025-06-16,461.3,469.55,461.25,467.35,31525
2025-06-17,463.05,467.15,459.15,460.7,36910
2025-06-18,459.8,466.15,459.5,464.05,67544
2025-06-19,456.05,459.1,450.6,453.65,11609
2025-06-20,454.9,456.95,448.75,449.1,29826
