Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-02,67.99,68.41,67.74,67.91,2545063
2024-01-03,66.46,67.48,66.334,67.18,2372906
2024-01-04,66.3,66.79,66.13,66.59,1887983
2024-01-05,65.64,66.56,65.63,66.02,2159039
2024-01-08,65.04,66.1267,64.96,66.02,2329018
2024-01-09,64.77,64.85,64.475,64.6,2415651
2024-01-10,63.92,64.28,63.5801,63.67,2976418
2024-01-11,63.7,63.955,63.03,63.49,2355904
2024-01-12,63.71,64.035,63.155,63.26,2615638
2024-01-16,62.19,62.22,61.145,61.52,3371708
2024-01-17,60.29,60.51,60.015,60.42,3059942
2024-01-18,60.06,60.49,59.68,60.48,3051837
2024-01-19,60.24,60.54,59.72,60.53,2475483
2024-01-22,59.8,60.4197,59.7,60.12,3230462
2024-01-23,61.15,62.1799,61.04,61.3,3452834
2024-01-24,63.14,63.21,62.135,62.17,3195906
2024-01-25,62.14,62.16,61.3,61.7,2514885
2024-01-26,61.83,62.02,61.49,61.96,1451845
2024-01-29,61.86,62.01,61.37,61.96,1811526
2024-01-30,61.59,61.905,60.89,61.77,2926142
2024-01-31,61.99,62.33,61.14,61.22,1908160
2024-02-01,61.39,62.04,61.29,61.96,1783476
2024-02-02,61.33,61.38,60.68,61.09,2676655
2024-02-05,59.66,59.75,59.17,59.49,3395075
2024-02-06,59.99,60.38,59.895,60.33,2304075
2024-02-07,60.29,60.59,60.04,60.52,2136085
2024-02-08,60.15,60.24,59.87,60.04,1791354
2024-02-09,60.09,60.22,59.66,60.18,2242832
2024-02-12,60.14,60.715,60.08,60.45,1879610
2024-02-13,59.62,59.7,58.5,58.93,2801387
2024-02-14,59.44,59.905,59.32,59.85,2241530
2024-02-15,58.62,59.725,58.62,59.61,2389971
2024-02-16,60.19,60.74,60.1,60.34,2981090
2024-02-20,59.11,59.12,57.615,58.1,4523187
2024-02-21,57.92,58.2,57.5508,57.76,2178708
2024-02-22,58.24,58.45,58,58.36,2355803
2024-02-23,58.54,58.85,58.19,58.31,1650317
2024-02-26,57.38,57.38,56.785,57.2,3202113
2024-02-27,57.95,58.07,57.58,57.74,2347504
2024-02-28,56.91,57.12,56.8012,57.09,1760770
2024-02-29,57.53,57.8025,57.2,57.34,1969804
2024-03-01,57.86,58.43,57.461,58.34,2713772
2024-03-04,58.01,58.205,57.87,58.06,2111324
2024-03-05,57.73,58.01,57.33,57.49,1478847
2024-03-06,58.68,59.09,58.45,58.56,2221225
2024-03-07,58.31,58.475,57.81,57.82,2788461
2024-03-08,57.98,58.01,57.11,57.3,3953987
2024-03-11,55.77,56.22,55.7001,56.13,3077537
2024-03-12,56.75,56.85,55.94,56,2879910
2024-03-13,55.88,57.22,55.81,56.87,3653843
2024-03-14,56.48,56.65,55.7603,56.04,2927594
2024-03-15,55.2,55.775,55.09,55.67,3439662
2024-03-18,56.46,56.47,55.87,55.88,1958124
2024-03-19,56.45,56.74,56.31,56.64,2521088
2024-03-20,56.79,57.84,56.6,57.78,2443103
2024-03-21,58.32,58.49,57.835,57.89,1786307
2024-03-22,57.25,57.52,57.03,57.04,2399660
2024-03-25,57.47,57.82,56.94,56.96,1592380
2024-03-26,56.87,56.89,56.225,56.55,2649187
2024-03-27,56.5,57.53,56.48,57.53,2384750
2024-03-28,57.51,57.8,57.27,57.69,2658812
2024-04-01,58.25,58.67,58.08,58.35,2281903
2024-04-02,58.59,59.23,58.485,59.17,3132633
2024-04-03,58.62,58.87,58.235,58.84,3781436
2024-04-04,59.3,59.34,57.725,57.74,2818664
2024-04-05,57.77,57.9351,57.27,57.66,3435577
2024-04-08,59.1,59.76,58.97,59.69,3631966
2024-04-09,59.98,60.54,59.87,60.49,2792550
2024-04-10,59.78,59.97,59.28,59.68,3291483
2024-04-11,59.46,59.68,58.7,59.49,2946795
2024-04-12,59.69,60.02,58.535,58.56,2585338
2024-04-15,59.76,59.98,58.84,59.06,2149992
2024-04-16,57.15,57.29,56.61,56.96,3171824
2024-04-17,58.98,59.36,58.155,58.41,3440348
2024-04-18,58.75,58.77,57.77,57.99,2890371
2024-04-19,57.76,58.435,57.73,58.14,2028602
2024-04-22,57.91,58.665,57.71,58.51,1955087
2024-04-23,57.62,58.74,57.47,58.7,3003735
2024-04-24,59.1,59.295,58.69,59.24,2063721
2024-04-25,57.37,58.13,57.09,57.21,3969933
2024-04-26,56.91,56.91,55.8,56.43,4065233
2024-04-29,55.88,56.9,55.87,56.81,2500757
2024-04-30,56.23,56.34,55.16,55.16,2456366
2024-05-01,55.3,55.74,54.81,55,2307704
2024-05-02,55.76,56.35,55.51,55.58,2781881
2024-05-03,56.26,56.74,55.92,56.26,2087955
2024-05-06,56.86,56.92,56.595,56.86,1181169
2024-05-07,57.56,57.71,57.31,57.47,2043663
2024-05-08,56.58,56.76,56.345,56.5,1481093
2024-05-09,56.73,57.13,56.425,57.12,1551264
2024-05-10,57.5,57.67,57.13,57.19,1560245
